iter	Passed	Remaining
0	56	26621
1	107	25337
2	157	24848
3	208	24576
4	256	24117
5	306	23932
6	356	23834
7	406	23745
8	455	23603
9	506	23541
10	556	23483
11	604	23339
12	654	23253
13	705	23238
14	755	23163
15	804	23071
16	853	22999
17	901	22885
18	949	22793
19	1001	22772
20	1050	22703
21	1098	22622
22	1147	22542
23	1198	22516
24	1248	22465
25	1298	22417
26	1346	22334
27	1394	22259
28	1443	22204
29	1494	22167
30	1543	22110
31	1592	22039
32	1643	22014
33	1691	21943
34	1740	21881
35	1788	21815
36	1837	21754
37	1886	21694
38	1934	21630
39	1986	21607
40	2036	21557
41	2088	21528
42	2137	21478
43	2189	21444
44	2237	21382
45	2286	21326
46	2336	21276
47	2386	21227
48	2434	21167
49	2485	21122
50	2535	21082
51	2584	21020
52	2632	20960
53	2681	20907
54	2731	20859
55	2782	20820
56	2832	20768
57	2880	20707
58	2928	20651
59	2979	20606
60	3026	20537
61	3074	20478
62	3122	20417
63	3171	20363
64	3218	20298
65	3266	20241
66	3313	20178
67	3361	20117
68	3409	20063
69	3457	20001
70	3505	19949
71	3554	19895
72	3603	19844
73	3666	19867
74	3719	19839
75	3766	19772
76	3814	19717
77	3861	19655
78	3908	19594
79	3958	19544
80	4006	19490
81	4055	19435
82	4102	19376
83	4151	19321
84	4198	19264
85	4247	19210
86	4295	19155
87	4343	19102
88	4391	19047
89	4440	18993
90	4488	18941
91	4535	18882
92	4583	18825
93	4630	18767
94	4677	18710
95	4726	18658
96	4775	18609
97	4823	18554
98	4870	18498
99	4919	18446
100	4967	18394
101	5015	18342
102	5062	18284
103	5109	18227
104	5158	18177
105	5206	18124
106	5255	18074
107	5304	18027
108	5352	17973
109	5401	17921
110	5448	17868
111	5496	17815
112	5544	17761
113	5594	17715
114	5642	17662
115	5690	17611
116	5739	17562
117	5787	17510
118	5835	17458
119	5885	17410
120	5934	17360
121	5982	17310
122	6030	17258
123	6077	17204
124	6124	17148
125	6172	17098
126	6221	17047
127	6269	16995
128	6317	16945
129	6364	16891
130	6411	16837
131	6459	16785
132	6507	16734
133	6555	16681
134	6602	16629
135	6651	16578
136	6697	16524
137	6745	16472
138	6793	16420
139	6839	16366
140	6888	16316
141	6936	16266
142	6983	16213
143	7030	16160
144	7077	16107
145	7125	16057
146	7173	16005
147	7219	15951
148	7268	15902
149	7318	15856
150	7366	15806
151	7412	15752
152	7460	15701
153	7508	15651
154	7556	15600
155	7604	15549
156	7650	15496
157	7699	15446
158	7748	15400
159	7797	15352
160	7845	15300
161	7893	15250
162	7943	15204
163	7991	15154
164	8037	15101
165	8086	15052
166	8135	15003
167	8184	14956
168	8231	14904
169	8281	14858
170	8330	14809
171	8377	14758
172	8426	14710
173	8474	14660
174	8522	14609
175	8570	14560
176	8618	14510
177	8665	14458
178	8712	14407
179	8760	14356
180	8806	14304
181	8854	14254
182	8901	14203
183	8949	14154
184	8996	14103
185	9045	14054
186	9092	14003
187	9139	13952
188	9188	13904
189	9237	13855
190	9286	13808
191	9334	13759
192	9383	13710
193	9431	13661
194	9480	13613
195	9528	13563
196	9576	13514
197	9623	13463
198	9671	13413
199	9720	13365
200	9767	13315
201	9817	13268
202	9866	13220
203	9913	13169
204	9962	13120
205	10010	13072
206	10059	13024
207	10108	12975
208	10157	12928
209	10204	12877
210	10251	12827
211	10302	12780
212	10349	12730
213	10397	12680
214	10445	12631
215	10493	12582
216	10540	12532
217	10588	12482
218	10636	12433
219	10684	12384
220	10732	12335
221	10780	12286
222	10828	12236
223	10876	12187
224	10923	12136
225	10971	12088
226	11020	12039
227	11068	11991
228	11115	11940
229	11162	11890
230	11211	11842
231	11259	11793
232	11309	11745
233	11356	11696
234	11404	11647
235	11452	11597
236	11500	11548
237	11549	11501
238	11598	11452
239	11645	11402
240	11694	11354
241	11754	11317
242	11802	11268
243	11850	11219
244	11899	11171
245	11950	11124
246	11997	11074
247	12044	11024
248	12091	10974
249	12139	10925
250	12186	10875
251	12234	10826
252	12283	10778
253	12332	10729
254	12378	10679
255	12425	10629
256	12473	10580
257	12521	10531
258	12571	10484
259	12618	10434
260	12665	10385
261	12714	10336
262	12762	10287
263	12809	10237
264	12856	10188
265	12903	10138
266	12950	10088
267	12998	10040
268	13047	9991
269	13093	9941
270	13145	9895
271	13195	9847
272	13268	9817
273	13316	9769
274	13364	9719
275	13412	9670
276	13462	9623
277	13511	9574
278	13561	9527
279	13612	9480
280	13660	9431
281	13708	9382
282	13756	9333
283	13804	9284
284	13852	9235
285	13900	9186
286	13949	9137
287	14000	9090
288	14048	9041
289	14103	8996
290	14155	8950
291	14211	8906
292	14265	8861
293	14320	8816
294	14371	8769
295	14420	8720
296	14467	8670
297	14514	8620
298	14562	8571
299	14611	8523
300	14658	8473
301	14706	8424
302	14755	8376
303	14802	8326
304	14850	8277
305	14898	8228
306	14946	8179
307	14995	8130
308	15041	8080
309	15089	8031
310	15138	7982
311	15187	7934
312	15236	7885
313	15284	7836
314	15331	7787
315	15380	7738
316	15437	7694
317	15486	7645
318	15533	7596
319	15580	7547
320	15628	7497
321	15675	7448
322	15724	7399
323	15772	7350
324	15821	7302
325	15869	7253
326	15918	7204
327	15965	7155
328	16013	7106
329	16062	7057
330	16109	7008
331	16159	6960
332	16207	6911
333	16262	6865
334	16318	6819
335	16369	6772
336	16418	6723
337	16466	6674
338	16515	6625
339	16563	6576
340	16612	6527
341	16660	6479
342	16709	6430
343	16758	6381
344	16806	6332
345	16853	6283
346	16901	6234
347	16950	6185
348	16998	6136
349	17046	6087
350	17095	6039
351	17142	5990
352	17191	5941
353	17238	5892
354	17286	5843
355	17334	5794
356	17382	5745
357	17431	5696
358	17480	5648
359	17528	5599
360	17575	5550
361	17624	5501
362	17671	5452
363	17720	5403
364	17768	5354
365	17817	5306
366	17867	5257
367	17916	5209
368	17966	5161
369	18014	5112
370	18062	5063
371	18113	5015
372	18162	4966
373	18210	4917
374	18261	4869
375	18311	4821
376	18361	4772
377	18424	4728
378	18477	4680
379	18526	4631
380	18575	4583
381	18622	4533
382	18669	4484
383	18717	4435
384	18764	4386
385	18812	4337
386	18860	4288
387	18909	4240
388	18958	4191
389	19006	4142
390	19053	4093
391	19101	4044
392	19149	3995
393	19204	3948
394	19253	3899
395	19301	3850
396	19350	3801
397	19397	3752
398	19446	3704
399	19495	3655
400	19544	3606
401	19592	3557
402	19648	3510
403	19702	3462
404	19753	3414
405	19810	3366
406	19859	3318
407	19915	3270
408	19967	3222
409	20021	3174
410	20070	3125
411	20123	3077
412	20173	3028
413	20220	2979
414	20273	2931
415	20322	2882
416	20373	2833
417	20423	2784
418	20471	2736
419	20518	2686
420	20566	2637
421	20613	2588
422	20661	2539
423	20709	2491
424	20756	2441
425	20804	2393
426	20852	2344
427	20901	2295
428	20948	2246
429	20996	2197
430	21044	2148
431	21092	2099
432	21141	2050
433	21189	2001
434	21237	1952
435	21285	1903
436	21332	1854
437	21378	1805
438	21425	1757
439	21473	1708
440	21522	1659
441	21570	1610
442	21618	1561
443	21668	1512
