model,roc_auc,pr_auc,f1,mcc,sensitivity,specificity
Random Forest (SMOTE),0.9209286189924049,0.6370213704406935,0.5633802816901409,0.5402242832431164,0.5607476635514018,0.9770802192326856
Gradient Boosting (SMOTE),0.907815635928456,0.6328042704486452,0.5570776255707762,0.5330499008613198,0.5700934579439252,0.9745889387144993
Random Forest (Weighted),0.9078109793293565,0.6143222481087827,0.5189873417721519,0.5403145544993044,0.38317757009345793,0.9950174389636273
AdaBoost (SMOTE),0.9108796781358702,0.6126680926948816,0.41919191919191917,0.4294762128773203,0.7757009345794392,0.8973592426507224
Random Forest (Baseline),0.9140787617171674,0.6088709023600369,0.5490196078431373,0.586767662934888,0.3925233644859813,0.9980069755854509
Bagging Classifier (Weighted),0.8963045229547053,0.6051167467811099,0.524390243902439,0.5344302932688949,0.40186915887850466,0.9930244145490782
Gradient Boosting (Weighted),0.9078505604217016,0.597946664533552,0.5818181818181818,0.5953149699101543,0.4485981308411215,0.9950174389636273
Logistic Regression (Baseline),0.8756525059488053,0.5676924785996633,0.535031847133758,0.5604778600674301,0.3925233644859813,0.9960139511709019
Logistic Regression (SMOTE),0.8851659379089076,0.5021174267535188,0.36086956521739133,0.37685384292952445,0.7757009345794392,0.8654708520179372
Logistic Regression (Weighted),0.8901438423461809,0.4825474858082231,0.37362637362637363,0.39212461177012303,0.794392523364486,0.8689586447433981
Decision Tree (Weighted),0.8023529795249338,0.4817207656006645,0.40217391304347827,0.3987585477864308,0.6915887850467289,0.9068261086198306
Decision Tree (SMOTE),0.8027534470474834,0.43675206379673237,0.43260188087774293,0.41860893049245756,0.6448598130841121,0.9287493771798705
